SIGMOD | Proceedings of the .* International Conference on Management of Data, {SIGMOD} Conference
NAACL-HLT | Proceedings of the .* Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies
NAACL-HLT | Proceedings of the .* of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies
Finding. of NAACL-HLT | Findings of the .* Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies
EMNLP | Proceedings of the .* Conference on Empirical Methods in Natural Language Processing
Finding. of EMNLP | Findings of the .* Conference on Empirical Methods in Natural Language Processing
Finding. of EMNLP | Findings of the Association for Computational Linguistics: EMNLP.*
ACL | Proceedings of the .* Annual Meeting of the Association for Computational Linguistics
AAAI | .* AAAI Conference on Artificial Intelligence .*
Finding. of ACL | Findings of the .* Annual Meeting of the Association for Computational Linguistics
Finding. of ACL | Findings of the Association for Computational Linguistics: ACL.*
Finding. of NAACL | Findings of the Association for Computational Linguistics: NAACL.*
EACL | Proceedings of the .* European Chapter of the Association for Computational Linguistics
WWW | {WWW} '.*: The Web Conference .*
ICLR | .* International Conference on Learning Representations,
NeurIPS | .* Annual Conference on Neural Information Processing Systems .*
NeurIPS | Advances in Neural Information Processing Systems .*
ICML | Proceedings of the .* International Conference on Machine Learning.*
ICML | Machine Learning, Proceedings of the .* International Conference
AAAI | Proceedings of the .*AAAI.* Conference on Artificial Intelligence
AAAI | .* {AAAI} Conference on Artificial Intelligence .*
SIGDIAL | Proceedings of the .* Annual Meeting of the Special Interest Group on Discourse and Dialogue
SIGDIAL | Proceedings of the .* Annual SIGdial Meeting on Discourse and Dialogue
KDD | The .* {ACM} {SIGKDD} International Conference on Knowledge Discovery
CVPR | .*IEEE Computer Society Conference on Computer Vision and Pattern Recognition.*
CVPR | .*IEEE/CVF Conference on Computer Vision and Pattern Recognition,.*
ICDE | .*International Conference on Data Engineering.*
SIGIR | .*International {ACM} {SIGIR}.*
SIGKDD | .*International Conference on Knowledge Discovery and Data Mining.*
ICASSP | .*IEEE International Conference on Acoustics, Speech and Signal Processing.*
INTERSPEECH | Interspeech .*Annual Conference of the International Speech.*
TKDE | IEEE Transactions on Knowledge and Data Engineering
{IEEE} Trans. Affect. Comput. | IEEE Transactions on Affective Computing
TASLP | IEEE/ACM Transactions on Audio, Speech, and Language Processing
IJCAI | Proceedings of the .* International Joint Conference on Artificial Intelligence
SLT | IEEE Spoken Language Technology Workshop (SLT)
LREC | Proceedings of the .* Language Resources and Evaluation Conference
*SEM | Proceedings of the .* Conference on Lexical and Computational Semantics
TACL | Transactions of the Association for Computational Linguistics
